id,uuid,question,answer,category,keywords,tags,intent_type,role_type,priority,has_embedding_json,created_at
40,ba5785f0-0829-4bf3-b456-c423636ef797,How can the AI tell if a lead is qualified?,"A qualified lead usually has a clear problem, a defined business need, a realistic timeline, some budget awareness, and access to decision-making. If those signals are missing, the system should keep nurturing instead of forcing a sales call.",lead_qualification,"[""qualified lead"", ""serious lead"", ""decision maker"", ""budget""]","[""qualification"", ""logic""]",qualification_logic,lead,10,True,2026-03-26T10:02:55.672148
41,19788f55-eaf8-49de-9070-d512b899b252,What budget question should the AI ask without sounding pushy?,A good approach is to ask whether they already have a budget range in mind or if they want guidance based on scope. This keeps the tone consultative while still helping the team separate serious projects from early exploration.,lead_qualification,"[""budget range"", ""pricing"", ""pushy"", ""scope""]","[""qualification"", ""pricing""]",budget_question,lead,9,True,2026-03-26T10:02:59.678888
42,0d583878-067d-4baf-9042-396e1bc19ef8,How should the AI qualify timeline?,"The agent should ask whether the project is urgent, planned for a specific launch, or still in early exploration. This helps separate active buyers from leads who need education first.",lead_qualification,"[""timeline"", ""urgency"", ""launch date""]","[""qualification"", ""timeline""]",timeline_question,lead,8,True,2026-03-26T10:03:03.254688
43,fd474eeb-4b36-427c-862e-3a5a11624b37,What should the AI do if a lead does not know the scope yet?,"It should switch from hard qualification to guided discovery by asking about the business goal, current pain points, audience, and must-have outcomes. That allows the team to shape scope later without losing the opportunity.",lead_qualification,"[""don't know scope"", ""unclear scope"", ""discovery""]","[""qualification"", ""discovery""]",scope_unclear,lead,9,True,2026-03-26T10:03:08.474776
44,f7214bfc-1108-4653-a85a-633dc8a671f3,How should the AI identify decision-makers?,It should politely ask who will be involved in approving the project and whether anyone else should join the consultation. This reduces delays later in the sales cycle.,lead_qualification,"[""decision maker"", ""approval"", ""stakeholders""]","[""qualification"", ""authority""]",authority_check,lead,9,True,2026-03-26T10:03:12.464849
45,1dcb9a82-7ba2-4b86-9724-559db4bb0c49,What signals suggest the lead is not ready yet?,"Signals include very vague needs, no urgency, no budget thinking at all, avoidance of next steps, or requests for fully custom advice before any discovery call. These leads should go into nurture rather than immediate sales handling.",lead_qualification,"[""not ready"", ""early stage"", ""vague lead""]","[""qualification"", ""nurture""]",not_ready,lead,8,True,2026-03-26T10:03:15.850881
46,fb26f36a-1643-439e-95cb-3f93b96d5801,Should the AI send an intake form before booking?,"Yes, for higher-value or more complex projects. For simple inquiries, booking can happen first. For complex work, a short intake form improves call quality and helps the team prepare.",lead_qualification,"[""intake form"", ""before booking"", ""questionnaire""]","[""qualification"", ""booking""]",intake_form,lead,8,True,2026-03-26T10:03:20.049578
47,b9802a7f-f4a8-43c1-8e8e-bc0751d17d05,How can the AI separate website leads from AI automation leads?,"It should classify the inquiry based on the main pain point: brand presence and conversion usually point to website work, product workflows and data handling point to software, and repetitive communication or qualification needs point to automation or AI agents.",lead_qualification,"[""website or app"", ""automation"", ""ai agent"", ""classify lead""]","[""qualification"", ""routing""]",service_classification,lead,9,True,2026-03-26T10:03:24.141441
48,9f59c1d0-f470-4736-83b9-dc1c8bfb2867,How should the AI handle price shoppers?,"It should give transparent pricing ranges, explain what affects cost, and move the conversation toward scope and outcomes. If the lead only wants the cheapest option, the system should keep the interaction helpful without overcommitting team time.",pricing,"[""cheap"", ""lowest price"", ""price shopper""]","[""pricing"", ""qualification""]",price_shopper,lead,8,True,2026-03-26T10:03:29.387221
49,6836c903-1667-4dd0-8bcf-0975fc8f988d,When should the AI offer a booking link?,"Offer the booking link once the lead has shown interest and shared enough context to make the meeting useful. Too early feels transactional, too late slows conversion.",booking,"[""booking link"", ""when to send"", ""consultation""]","[""booking"", ""conversion""]",booking_trigger,lead,9,True,2026-03-26T10:03:32.544496
50,d24717b5-e56f-4260-927d-0e75ac8a46fe,What should happen after a consultation is booked?,"The CRM should create or update the contact, store qualification notes, assign the opportunity stage, send confirmation and reminders, and prepare the team with the lead summary before the meeting.",crm_workflow,"[""after booking"", ""crm update"", ""reminders"", ""lead summary""]","[""crm"", ""workflow""]",post_booking_workflow,internal,10,True,2026-03-26T10:03:36.534158
51,1ca6b0f5-7c7b-447b-bef6-0a8dfd51eafa,How should the AI reduce no-shows?,"Use clear confirmations, one-day and one-hour reminders, a short summary of what the call will cover, and easy rescheduling options. People attend more when the meeting feels relevant and easy to manage.",booking,"[""no show"", ""reminders"", ""reschedule""]","[""booking"", ""optimization""]",no_show_reduction,lead,8,True,2026-03-26T10:03:42.160850
52,3b163108-d600-4e19-a59a-695e3d3ae8fd,What should the AI ask before scheduling a consultation?,"It should confirm the service needed, the business goal, urgency, and whether the lead is the right contact. That keeps the calendar from filling with low-fit calls.",booking,"[""before scheduling"", ""consultation questions""]","[""booking"", ""qualification""]",pre_booking_questions,lead,8,True,2026-03-26T10:03:46.258154
53,1fa5c527-4e84-40e1-acad-30487a6b2641,Can the AI reschedule missed appointments automatically?,"Yes. If a lead misses a meeting, the system should send a polite follow-up, offer a reschedule link, and keep the conversation warm instead of closing it too early.",booking,"[""missed appointment"", ""reschedule"", ""no show""]","[""booking"", ""followup""]",reschedule_flow,lead,7,True,2026-03-26T10:03:50.036644
54,9f518901-0e17-4e68-ac92-d1faceabbc90,How should the AI handle outbound outreach to contractors or real estate partners?,"The outreach should be short, relevant, and based on the partner's business type. The message should focus on a clear value proposition, one reason the outreach is relevant to them, and one simple next step such as a call or reply.",outreach,"[""contractor outreach"", ""real estate agent"", ""partner outreach""]","[""outreach"", ""partnership""]",outbound_message,partner,10,True,2026-03-26T10:03:53.184669
55,84d4c080-6e87-4d7e-98ef-ca048f50c901,What makes a good first outreach message?,"A good first message is personalized, industry-relevant, and specific about the problem you solve. It should avoid sounding mass-sent and should end with a low-friction call to action.",outreach,"[""first outreach message"", ""personalization"", ""CTA""]","[""outreach""]",message_quality,partner,9,True,2026-03-26T10:03:57.249410
56,260eca41-935d-4120-8662-09aff27bb377,How many follow-ups should the system send automatically?,"A practical default is three to five follow-ups spaced over days or weeks, with each message adding a different angle such as value, case relevance, or timing. More than that can feel spammy unless engagement signals are positive.",outreach,"[""follow up sequence"", ""outreach cadence"", ""spam""]","[""outreach"", ""cadence""]",followup_cadence,partner,8,True,2026-03-26T10:04:01.208612
57,5463958c-dcbc-4423-a57d-730312708118,What should the AI track during outreach?,"Track contact role, company, industry, message history, reply status, interest level, objections, and whether a partnership call was booked. Without this, outreach becomes hard to optimize.",outreach,"[""track outreach"", ""replies"", ""objections"", ""call booked""]","[""outreach"", ""crm""]",outreach_tracking,internal,8,True,2026-03-26T10:04:05.715392
58,3a514b09-7a1c-4e1d-a664-fd9e3e5260fc,How should the AI qualify a potential referral partner?,"A strong partner fit usually has audience overlap, steady deal flow, credibility in the market, and a clear reason to refer or collaborate. The system should capture those signals before pushing for a call.",partnership,"[""referral partner"", ""partnership fit"", ""collaborate""]","[""partnership"", ""qualification""]",partner_qualification,partner,9,True,2026-03-26T10:04:09.609708
59,5ad552db-0c9b-406e-a1da-da1c1fd0a198,What should the AI do when a partner shows interest?,"It should move the contact into a partner pipeline, capture notes on opportunity type and value, send a follow-up or booking link, and notify the right team member for relationship handling.",partnership,"[""partner interested"", ""next step"", ""pipeline""]","[""partnership"", ""workflow""]",partner_interest,partner,8,True,2026-03-26T10:04:13.724856
60,3fe1ab81-3a06-481d-949f-70d4f6acf6a1,What should the AI say in a referral workflow?,"It should clearly explain how referrals are handled, what kind of clients are a good fit, and what the next step is. Clarity matters because referral programs fail when expectations stay vague.",partnership,"[""referral workflow"", ""how referrals work""]","[""partnership"", ""process""]",referral_explainer,partner,7,True,2026-03-26T10:04:17.595018
61,97b90e3d-c445-430c-899f-7c4856ad4485,How should the AI avoid spammy outreach behavior?,"It should personalize at least one line, limit message frequency, stop sequences on negative signals, and avoid repeating the same wording across follow-ups. The goal is relationship-building, not volume alone.",outreach,"[""spam"", ""repetitive outreach"", ""stop sequence""]","[""outreach"", ""quality""]",anti_spam,internal,8,True,2026-03-26T10:04:21.703875
62,793debb4-7706-4241-8c62-cdee11ab5a51,What should happen in the CRM when a new lead is captured?,"The system should create or update the contact, assign source and channel, store the conversation summary, set an initial pipeline stage, and trigger the next follow-up action automatically.",crm_workflow,"[""new lead"", ""crm update"", ""pipeline stage"", ""source""]","[""crm"", ""workflow""]",new_lead_workflow,internal,10,True,2026-03-26T10:04:25.600773
63,5d175398-6b86-48ee-ad95-ca3b19dc6b81,What fields are most important to store for qualified leads?,"Store service interest, business type, budget range, timeline, decision-maker status, pain points, source channel, last interaction date, next step, and assigned owner. These fields improve follow-up quality and reporting.",crm_workflow,"[""crm fields"", ""budget"", ""timeline"", ""owner"", ""source""]","[""crm"", ""data""]",crm_fields,internal,10,True,2026-03-26T10:04:29.682755
64,4ed5374d-4830-4471-b287-e6c0174168eb,How should the AI keep the pipeline organized?,"It should update lead stages based on conversation signals, create reminders when a next step is agreed, and flag stalled deals that have had no reply within the expected window.",crm_workflow,"[""pipeline organized"", ""stalled deals"", ""follow up""]","[""crm"", ""pipeline""]",pipeline_hygiene,internal,9,True,2026-03-26T10:04:33.894648
65,965adda3-a249-4906-8c7a-bb769cc4c90d,What triggers should create a follow-up task automatically?,"A follow-up task should be created after a consultation, after a positive reply without booking, after a missed appointment, after an unanswered proposal, or after a lead asks for more information.",crm_workflow,"[""follow up task"", ""automate follow up"", ""trigger""]","[""crm"", ""automation""]",followup_trigger,internal,9,True,2026-03-26T10:04:40.225798
66,3bf034f9-75b1-46e3-87ef-be8c615b34f7,How should the AI update CRM notes?,"It should summarize the conversation into business-relevant notes: what the lead wants, how urgent it is, any budget clues, objections, next step, and sentiment. Raw transcripts alone are not enough for sales teams.",crm_workflow,"[""conversation summary"", ""crm notes"", ""objections""]","[""crm"", ""notes""]",crm_notes,internal,8,True,2026-03-26T10:04:44.420855
67,4b45c779-f329-4780-896c-9fcbdfa29a4e,What should happen when a lead stops replying?,"The system should move the lead into a follow-up or nurture status, send a timed re-engagement message if appropriate, and stop active selling after repeated non-response unless the lead reopens the conversation.",crm_workflow,"[""ghosted lead"", ""stopped replying"", ""re-engagement""]","[""crm"", ""nurture""]",no_response_flow,lead,8,True,2026-03-26T10:04:48.417601
68,de03be07-59d1-4481-be8d-7395381a90b8,Can the AI use Google Sheets as a lightweight tracking layer?,"Yes. Sheets can work for simple tracking, reporting, or backup workflows, but the primary source of truth should stay in the CRM to avoid fragmented lead history.",crm_workflow,"[""google sheets"", ""tracking"", ""crm source of truth""]","[""crm"", ""ops""]",sheets_usage,internal,6,True,2026-03-26T10:04:52.313792
69,ce42113f-1d91-4321-9649-b48aa6ff0de3,What should be the source of truth for lead stage?,"The CRM should be the source of truth for lead stages, owner assignment, and next actions. Other tools can mirror data, but decision-making should not depend on scattered records.",crm_workflow,"[""source of truth"", ""crm"", ""pipeline""]","[""crm"", ""governance""]",source_of_truth,internal,8,True,2026-03-26T10:04:56.197481
70,1c2bc08c-7286-49f1-9829-b2c6483c8fba,How should the AI decide between replying immediately and escalating?,"If the message matches a known FAQ or clear workflow, reply immediately. If it involves custom scope, risk, urgency, high-value opportunity, or negative sentiment, escalate or reply with a controlled handoff.",smart_decisioning,"[""reply or escalate"", ""decision rule"", ""sentiment""]","[""decisioning"", ""handoff""]",respond_vs_escalate,internal,10,True,2026-03-26T10:05:00.214745
71,92ca67f0-eac2-4cdf-8f72-f0ef4c696d9a,What tone should the AI maintain in conversations?,"The tone should be professional, clear, helpful, and confident without sounding robotic or overly salesy. The goal is to build trust and move the conversation forward naturally.",smart_decisioning,"[""tone"", ""professional"", ""salesy"", ""natural""]","[""tone"", ""brand""]",tone_guideline,internal,9,True,2026-03-26T10:05:05.003525
72,75de8b37-de5a-4cb0-bd0b-dfbf43ccc84e,How should the AI avoid sounding robotic?,"It should use concise human language, acknowledge the specific question, avoid repeating templates too often, and adapt the reply to the lead's context instead of forcing generic copy.",smart_decisioning,"[""robotic"", ""human sounding"", ""natural reply""]","[""tone"", ""quality""]",human_tone,internal,8,True,2026-03-26T10:05:08.903821
73,526d1770-fe25-4b4b-a353-22260803ec70,Can the AI learn from conversations over time?,"Yes, but it should learn through controlled review loops, approved prompt or KB updates, and analysis of successful conversations. It should not change business-critical behavior automatically without oversight.",smart_decisioning,"[""learn over time"", ""feedback loop"", ""improve""]","[""decisioning"", ""learning""]",learning_loop,internal,8,True,2026-03-26T10:05:13.618179
74,afa2deac-754a-4a2e-a12c-bd8fecb89dca,What should the AI optimize for first?,"Initially it should optimize for speed to first response, qualification completion rate, consultation bookings, and clean CRM updates. Those metrics create the fastest business impact.",system_strategy,"[""kpi"", ""optimize first"", ""booking rate"", ""response time""]","[""strategy"", ""kpi""]",optimization_priority,internal,9,True,2026-03-26T10:05:17.910629
75,c1ef794a-dd01-48af-8238-e54b2b33ceea,How should the system identify a hot lead?,"A hot lead usually has a clear need, urgency, buying authority, budget readiness, and positive engagement with next steps. Those leads should receive faster human attention and tighter follow-up windows.",lead_qualification,"[""hot lead"", ""urgency"", ""authority"", ""budget""]","[""qualification"", ""scoring""]",hot_lead,internal,9,True,2026-03-26T10:05:21.610321
76,695e5a17-f88b-494e-9d4e-b657e79fb94a,How should the system handle cold or low-fit leads?,"It should still respond politely, provide helpful direction where possible, and move them into nurture or low-priority handling rather than spending premium sales time too early.",lead_qualification,"[""cold lead"", ""low fit"", ""nurture""]","[""qualification"", ""nurture""]",cold_lead,internal,7,True,2026-03-26T10:05:25.064813
77,f0c448ae-53ab-40cb-8c8e-21e0c262d838,How should the AI handle custom project requests?,"It should gather the business goal, likely scope, timeline, and budget clues, then offer a consultation or human follow-up. Custom work should not be quoted too precisely without discovery.",pricing,"[""custom project"", ""quote"", ""discovery""]","[""pricing"", ""scoping""]",custom_request,lead,9,True,2026-03-26T10:05:28.910518
78,40bc8648-bf50-4b3d-bc79-82dcbb673a65,What should the AI do when multiple services may fit the lead?,"It should recommend the most likely starting path based on the lead's goal and explain why. If there is uncertainty, it should position the consultation as the best way to refine the solution.",smart_decisioning,"[""multiple services"", ""best fit"", ""recommend""]","[""routing"", ""sales""]",multi_service_routing,lead,8,True,2026-03-26T10:05:33.069099
79,f9357a02-d724-421f-9c42-0330f67b413c,What should the AI say when the lead says the price is too high?,"It should acknowledge the concern, reconnect the quote to scope and outcomes, and offer a phased approach if appropriate. The goal is to keep the conversation moving without discounting by default.",pricing,"[""too expensive"", ""high price"", ""budget issue""]","[""pricing"", ""objection""]",price_objection,lead,9,True,2026-03-26T10:05:36.656734
80,72188cd0-75ae-4e60-acc9-f8dbf3425792,What should the AI say when the lead wants to think about it?,"It should respect the pause, ask if any specific concerns are blocking a decision, and agree on a clear follow-up point. Open loops convert better than vague goodbyes.",sales_objection,"[""think about it"", ""follow up later"", ""unsure""]","[""objection"", ""followup""]",delay_objection,lead,8,True,2026-03-26T10:05:41.974599
81,939fa9b2-3e26-46b2-81bc-a2ef7fb013e0,How should the AI respond when a lead compares you to competitors?,"It should stay calm, focus on fit, process quality, speed, reliability, and outcomes, and avoid negative language about competitors. Comparison moments are best handled with clarity, not defensiveness.",sales_objection,"[""competitor"", ""compare agencies"", ""alternative""]","[""objection"", ""positioning""]",competitor_comparison,lead,7,True,2026-03-26T10:05:46.476857
82,053ebbe3-4ffa-4559-93e3-fb5428459420,What should the AI say when the lead wants an estimate before a call?,"It can share a realistic range based on similar scopes, explain what drives the cost, and note that the detailed estimate comes after understanding the requirements properly.",pricing,"[""estimate before call"", ""rough quote"", ""pricing range""]","[""pricing"", ""conversion""]",estimate_before_call,lead,8,True,2026-03-26T10:05:50.983191
83,d8166969-c46d-48fe-886d-1c5ed9bc44fb,How should the AI move a lead from interest to booked consultation?,"It should summarize the need, confirm that a short call would help clarify scope or next steps, and then provide a simple booking option. Momentum matters most right after interest is expressed.",booking,"[""book consultation"", ""move to call"", ""next step""]","[""booking"", ""conversion""]",interest_to_booking,lead,9,True,2026-03-26T10:05:54.672396
84,3463480f-8216-4a89-ac16-e178aa24aa2e,What should the AI do after sending a proposal?,"It should log the proposal stage, set a timed follow-up, capture any objections or open questions, and remind the team if the lead goes quiet beyond the expected decision window.",crm_workflow,"[""after proposal"", ""follow up"", ""decision window""]","[""crm"", ""sales""]",post_proposal,internal,8,True,2026-03-26T10:05:58.770632
85,c52b1ce8-48d6-4993-861f-f8d01f2c3d7a,How should the AI handle referral-source leads differently?,"Referral leads should be acknowledged quickly, tagged by source, and treated with context about the referring relationship. Referral trust is an asset, so the follow-up should feel more personal.",lead_qualification,"[""referral lead"", ""referred by"", ""source""]","[""qualification"", ""referral""]",referral_lead,lead,8,True,2026-03-26T10:06:02.152543
86,d7ee9825-c14a-4396-ad27-61e63df5cd33,What should the AI ask before preparing a proposal?,"It should confirm the business objective, required deliverables, timeline, budget expectations, decision-makers, and any must-have integrations or constraints. Proposals are better when those basics are clear.",lead_qualification,"[""before proposal"", ""scope"", ""budget"", ""integrations""]","[""qualification"", ""proposal""]",proposal_readiness,lead,9,True,2026-03-26T10:06:06.520195
87,fd9fa60a-9f2a-4aed-a52f-c507201c3ff8,What metrics should we track to judge whether the AI agent is working?,"Track first-response speed, qualification completion rate, booking rate, show-up rate, positive reply rate, pipeline progression, and human takeover rate. These reveal both efficiency and revenue impact.",reporting,"[""metrics"", ""booking rate"", ""reply rate"", ""human takeover""]","[""analytics"", ""kpi""]",performance_metrics,internal,10,True,2026-03-26T10:06:10.948640
88,ca4d7812-29d8-4a2b-831a-173c5618fa87,How do we know if the outreach workflow is effective?,"Look at open or reply signals where available, positive reply rate, meetings booked, partner conversion rate, and time from first contact to response. Activity volume alone is not enough.",reporting,"[""outreach metrics"", ""positive reply"", ""meetings booked""]","[""analytics"", ""outreach""]",outreach_metrics,internal,8,True,2026-03-26T10:06:15.066473
89,e00d1470-e37e-446d-82ba-e43acda5047f,What metric shows lead quality best?,A strong proxy is the percentage of captured leads that progress to consultation and then to proposal or serious sales discussion. High lead volume means little if conversion stays weak.,reporting,"[""lead quality"", ""consultation rate"", ""conversion""]","[""analytics"", ""qualification""]",lead_quality_metric,internal,8,True,2026-03-26T10:06:18.635235
90,c93060ef-eb8f-4389-93ab-de31f95a5ac4,How should we measure AI handoff quality?,"Measure how often escalated conversations have enough context for a human to act immediately, and whether the human needs to repeat qualification steps. Good handoff reduces friction, not just workload.",reporting,"[""handoff quality"", ""escalation context"", ""friction""]","[""analytics"", ""handoff""]",handoff_quality,internal,7,True,2026-03-26T10:06:22.524106
2001,3ab48b52-1de1-4ef2-b968-62b13f7f0949,What details should be collected for a custom home project inquiry?,"Collect the project location, whether the lot is already purchased, approximate home size, bedroom and bathroom count, preferred design style, must-have spaces or features, desired start window, target budget range, and who is involved in decision-making. These details are enough to guide the lead toward the right architect or builder conversation without creating too much friction early.",service_discovery,"[""custom home"", ""residential project"", ""lot purchased"", ""discovery""]","[""residential"", ""discovery"", ""qualification""]",service_inquiry,unknown,10,False,2026-03-26T12:40:36.368890
2002,cc60500d-07a2-4668-b137-adebc3af1e20,What details should be collected for a renovation or remodel inquiry?,"Collect the property type, which areas are being renovated, current pain points, whether structural changes are needed, style preferences, budget comfort level, desired completion window, and whether an architect or contractor is already involved.",service_discovery,"[""renovation"", ""remodel"", ""home improvement"", ""discovery""]","[""residential"", ""remodel"", ""qualification""]",service_inquiry,unknown,9,False,2026-03-26T12:40:36.368890
2003,6aa56b22-0834-4a80-95af-89121f946427,Which partner should be recommended first for an early-stage custom home project?,"For an early-stage custom home project, the best first introduction is usually an architect or design-led planning partner, especially when the lead has a vision but still needs help refining layout, scope, and budget alignment. A contractor should be introduced early once the concept is clear enough to pressure-test feasibility and cost.",partner_matching,"[""architect first"", ""contractor first"", ""custom home"", ""partner recommendation""]","[""matching"", ""partners"", ""residential""]",service_inquiry,unknown,10,False,2026-03-26T12:40:36.368890
2004,5628159a-3c28-40c3-9ac6-2af8cd5ceadc,When should an interior designer or landscape architect be introduced?,"Interior design and landscape support are usually introduced after the core layout, budget direction, and primary build team are better defined. They can be included earlier if they are a clear priority from the beginning, but they are typically secondary to design planning and builder alignment.",partner_matching,"[""interior designer"", ""landscape architect"", ""when to involve""]","[""matching"", ""specialists"", ""residential""]",service_inquiry,unknown,8,False,2026-03-26T12:40:36.368890
2005,3382e043-d15d-4f8f-80f7-6350bd54ba54,How should the agent answer early pricing questions when exact pricing is not available?,"The agent should explain that pricing depends on location, project size, design complexity, materials, sustainability goals, and timeline. It should avoid guessing exact numbers and instead explain the main cost drivers, then guide the lead toward a consultation or intake questionnaire for a more accurate estimate.",pricing_guidance,"[""pricing"", ""estimate"", ""budget"", ""cost drivers""]","[""pricing"", ""discovery"", ""sales""]",pricing_request,unknown,10,False,2026-03-26T12:40:36.368890
2006,9f988564-d886-490e-84d3-f3b6fba965f3,What factors most affect cost in a residential planning and build project?,"The main cost drivers are project location, square footage, design complexity, finish level, structural requirements, indoor-outdoor features, sustainability requirements, permitting conditions, and how compressed the timeline is.",pricing_guidance,"[""cost factors"", ""pricing factors"", ""residential cost""]","[""pricing"", ""education""]",pricing_request,unknown,9,False,2026-03-26T12:40:36.368890
2007,5f96b22c-4778-4c44-b286-f01275152c94,How should the agent explain timeline expectations for a custom home project?,"The agent should explain that early planning, design refinement, budgeting alignment, partner selection, and permitting all affect the schedule before construction begins. If the lead wants to start within the next few months, the right next step is to align quickly with the right architect or builder so feasibility and sequencing are clear early.",timeline_guidance,"[""custom home timeline"", ""planning timeline"", ""start construction""]","[""timeline"", ""residential""]",service_inquiry,unknown,9,False,2026-03-26T12:40:36.368890
2008,d647b7dc-fb5e-49f0-bbd4-54b0c5402b21,"How should the agent respond when a lead shares vision, rough budget, and timeline and asks for next steps?","The reply should acknowledge the project vision, reflect the main priorities back naturally, answer any direct questions already asked, explain the most logical starting path such as architect-first planning with early contractor alignment, and then move to one practical next step such as a consultation or curated shortlist. It should avoid repeating questions the lead has already answered.",conversation_patterns,"[""next steps"", ""shared budget"", ""shared timeline"", ""custom home lead""]","[""response pattern"", ""conversion"", ""sales""]",booking_request,unknown,10,False,2026-03-26T12:40:36.368890
2009,d135358c-012f-4c94-919e-0e54c4cd1aa4,How should the agent respond when a lead says they are still exploring options?,"The agent should keep the tone consultative and low-pressure, acknowledge that early exploration is normal, offer light guidance on what to clarify first, and suggest either a short consultation or an intake questionnaire to make comparisons easier without forcing commitment.",objection_handling,"[""still exploring"", ""comparing options"", ""not ready yet""]","[""objection"", ""nurture"", ""sales""]",nurture,unknown,8,False,2026-03-26T12:40:36.368890
2010,b78826f6-ecbc-4195-a5d3-2eaf0d4e9ac3,How should the agent respond when a lead does not know the budget yet?,"The agent should avoid pushing for an exact number too early. It should explain the main cost drivers, ask for a comfort range if possible, and position the consultation or intake questionnaire as the best way to align scope before estimating too precisely.",objection_handling,"[""dont know budget"", ""budget unknown"", ""estimate later""]","[""objection"", ""pricing"", ""qualification""]",pricing_request,unknown,8,False,2026-03-26T12:40:36.368890
2011,67cc1159-b262-4797-9835-1289d0a2925e,When should the agent suggest a consultation instead of continuing discovery questions?,"The agent should suggest a consultation once the lead has already shared project type, timeline signal, budget signal, and at least some scope details. At that point, repeating more discovery questions creates friction and reduces conversion.",conversion_logic,"[""when to book"", ""consultation threshold"", ""stop asking questions""]","[""conversion"", ""booking"", ""sales""]",booking_request,unknown,10,False,2026-03-26T12:40:36.368890
